date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:21:04	95406/95406	---M-Z	200	added ('OK')	application/javascript	etag:%22174ae-5cf3eafafa880-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/mcustomscroll/jquery.mCustomScrollbar.js	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/mcustomscroll/jquery.mCustomScrollbar.js	(from https://dreamschat.dreamguystech.com/template-html/template2/login-email.html)
09:21:05	7370/7370	---M-Z	200	added ('OK')	application/javascript	etag:%221cca-5d31a5815fe00-gzip%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/js/script.js	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/js/script.js	(from https://dreamschat.dreamguystech.com/template-html/template2/login-email.html)
09:21:06	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:07	130906/130906	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%221ff5a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.eot?	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:08	75336/75336	---M--	200	added ('OK')	text/html	etag:%2212648-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff2	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:08	88428/88428	---MCZ	200	added ('OK')	application/font-woff	etag:W/%221596c-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:10	130600/130600	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%221fe28-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:11	703999/703999	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22abdff-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-brands-400.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:11	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:12	34394/34394	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22865a-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.eot?	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:13	13584/13584	---M--	200	added ('OK')	text/html	etag:%223510-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff2	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:13	16804/16804	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2241a4-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:14	34096/34096	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%228530-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:15	145255/145255	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2223767-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.svg	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-regular-400.svg	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:16	192758/192758	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f0f6-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:18	192758/192758	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222f0f6-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.eot?	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900d41d.eot	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:19	75728/75728	---M--	200	added ('OK')	text/html	etag:%22127d0-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff2	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.html	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:20	98384/98384	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2218050-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.woff	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
09:21:21	192472/192472	---MCZ	200	added ('OK')	application/font-sfnt	etag:W/%222efd8-5cf3eafafa880%22	https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	E:/Project%20Code/Asp.net%20MVC/ProjectSecond_RoomChatting/RoomChatting/dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/webfonts/fa-solid-900.ttf	(from https://dreamschat.dreamguystech.com/template-html/template2/assets/plugins/fontawesome/css/all.min.css)
